salesDate,branchCode,branchName,salesNum,billNum,batchID,menuCategoryID,menuCategoryName,menuCategoryDetailID,menuCategoryDetailName,menuID,menuName,menuCode,qty,originalPrice,price,inclusivePrice,discount,discountValue,inclusiveDiscountValue,otherTaxValue,otherTax,vat,vatValue,otherTaxOnVat,total,notes,statusID,statusName,promotionDetailID,menuPromotionID,salesType,cancelNotes,createdBy,createdDate,editedBy,editedDate,packages,extras
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813584905,CCI0103202608310001,1,1,BEVERAGE,22,PROMO EKSLUSIF DI GOFOOD,170,BUNDLING PROMO GOFOOD 2 LITER PREMIUM,,1,220000,220000,220000,0,0,0,0,0,0,0,0,220000,,13,Preparing,0,0,GOFOOD,,,2026-08-31T07:24:09+07:00,-,2026-08-31T07:24:09+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813654905,CCI0103202608310002,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,1,Es Kopi Calf Premium,,1,25000,25000,25000,0,4500,0,0,0,0,0,0,20500,,13,Preparing,60,0,SHOPEEFOOD,,,2026-08-31T07:35:49+07:00,-,2026-08-31T07:35:49+07:00,"[{""menuID"": 139, ""menuName"": ""Normal Sugar"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 0, ""price"": 0, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 0, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813670505,CCI0103202608310003,1,1,BEVERAGE,30,SHOPEE BEST DEAL,271,Bundling 3 Es Kopi Calf Premium,,1,75000,75000,75000,0,12000,0,0,0,0,0,0,63000,LESS SUGAR PISAH ICE,13,Preparing,60,0,SHOPEEFOOD,,,2026-08-31T07:38:25+07:00,-,2026-08-31T07:38:25+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813758705,CCI0103202608310004,1,1,BEVERAGE,2,SMOOTH SERIES,15,Smooth Banana Tiramisu,,1,36000,36000,36000,0,0,0,0,0,0,0,0,36000,"Mangat kerjanya, amykuu",13,Preparing,0,0,SHOPEEFOOD,,,2026-08-31T07:53:07+07:00,-,2026-08-31T07:53:07+07:00,"[{""menuID"": 184, ""menuName"": ""Paper Cup"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 2000, ""price"": 2000, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 2000, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813790706,CCI0103202608310005,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,2,Calf Premium Can,,1,36000,36000,36000,0,0,0,0,0,0,0,0,36000,,13,Preparing,0,0,GOFOOD,,,2026-08-31T07:58:27+07:00,-,2026-08-31T07:58:27+07:00,"[{""menuID"": 135, ""menuName"": ""Normal Sugar"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 0, ""price"": 0, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 0, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813790706,CCI0103202608310005,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,185,Kopi Calf Premium 1LT,,1,115000,115000,115000,0,0,0,0,0,0,0,0,115000,,13,Preparing,0,0,GOFOOD,,,2026-08-31T07:58:27+07:00,-,2026-08-31T07:58:27+07:00,"[{""menuID"": 131, ""menuName"": ""Normal Sugar"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 0, ""price"": 0, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 0, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813812705,CCI0103202608310006,1,1,BEVERAGE,2,SMOOTH SERIES,13,Smooth Pistachio,,3,36000,36000,36000,0,0,0,0,0,0,0,0,108000,,13,Preparing,0,0,GOFOOD,,,2026-08-31T08:02:07+07:00,-,2026-08-31T08:02:07+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813888905,CCI0103202608310008,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,7,Es Kopi Calf Regular,,2,20000,20000,20000,0,0,0,0,0,0,0,0,40000,,13,Preparing,0,0,GOFOOD,,,2026-08-31T08:14:49+07:00,-,2026-08-31T08:14:49+07:00,"[{""menuID"": 167, ""menuName"": ""Normal Sugar"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 0, ""price"": 0, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 0, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813888905,CCI0103202608310008,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,241,Regular Gula Kelapa,,2,22000,22000,22000,0,0,0,0,0,0,0,0,44000,,13,Preparing,0,0,GOFOOD,,,2026-08-31T08:14:50+07:00,-,2026-08-31T08:14:50+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813904505,CCI0103202608310009,1,2,FOOD,29,Dimsum Series,56,Dimsum Mozzarella,,1,26000,26000,26000,0,0,0,0,0,0,0,0,26000,,13,Preparing,0,0,GRAB,,,2026-08-31T08:17:26+07:00,-,2026-08-31T08:17:26+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813904505,CCI0103202608310009,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,12,Caramel Macchiato,,1,29500,29500,29500,0,0,0,0,0,0,0,0,29500,,13,Preparing,0,0,GRAB,,,2026-08-31T08:17:25+07:00,-,2026-08-31T08:17:25+07:00,"[{""menuID"": 126, ""menuName"": ""Less Sugar"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 0, ""price"": 0, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 0, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}, {""menuID"": 67, ""menuName"": ""Ice Cream"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 5000, ""price"": 5000, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 5000, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813911105,CCI0103202608310010,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,1,Es Kopi Calf Premium,,1,25000,25000,25000,0,4500,0,0,0,0,0,0,20500,,13,Preparing,60,0,SHOPEEFOOD,,,2026-08-31T08:18:31+07:00,-,2026-08-31T08:18:31+07:00,"[{""menuID"": 137, ""menuName"": ""Less Sugar"", ""menuCode"": """", ""qty"": 1, ""originalPrice"": 0, ""price"": 0, ""discount"": 0, ""otherTax"": 0, ""vat"": 0, ""otherTaxOnVat"": 0, ""total"": 0, ""notes"": """", ""statusID"": 13, ""statusName"": ""Preparing""}]",[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813965067,CCI0103202608310012,1,1,BEVERAGE,4,MAGIC CREAM SERIES,22,Magic Cheese Cream,,1,27000,27000,0,0,0,0,0,0,10,2700,0,29700,,13,Preparing,0,0,POS Lite,,CALFCCI01KASIR1,2026-08-31T08:27:31+07:00,CALFCCI01KASIR1,2026-08-31T08:28:23+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813965067,CCI0103202608310012,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,2,Calf Premium Can,,1,29000,29000,0,0,0,0,0,0,10,2900,0,31900,,13,Preparing,0,0,POS Lite,,CALFCCI01KASIR1,2026-08-31T08:27:31+07:00,CALFCCI01KASIR1,2026-08-31T08:28:24+07:00,[],[]
2026-08-31,CCI01,Kopi Calf Supratman Bandung,SCCI01038813965067,CCI0103202608310012,1,1,BEVERAGE,1,ORIGINAL KOPI SUSU,3,Kopi Calf Premium 1Lt,,2,89000,89000,0,0,0,0,0,0,10,17800,0,195800,,13,Preparing,0,0,POS Lite,,CALFCCI01KASIR1,2026-08-31T08:27:31+07:00,CALFCCI01KASIR1,2026-08-31T08:28:23+07:00,[],[]
